title,company,company_size,industry,type,salary,company_type,source,experience,education,salary2
小易到家 直招 销售经理（淞南友谊路2店）,海南小易到家电子商务有限公司上海分公司,20-99人,,全职,8000-12000,民营,斗米,不限,不限,10000.0
高薪急聘快递员包食宿,上海顷慧物流有限公司,20-99人,司机|物流|贸易|保险,全职,8000-12000,民营,斗米,不限,不限,10000.0
急聘高薪快递员包食宿,上海顷慧物流有限公司,20-99人,司机|物流|贸易|保险,全职,8000-12000,民营,斗米,不限,不限,10000.0
小易到家 直招 店面运营经理（美兰湖店）,海南小易到家电子商务有限公司上海分公司,20-99人,,全职,8000-12000,民营,斗米,不限,不限,10000.0
小易到家 直招 渠道分销总监（上大二店）,海南小易到家电子商务有限公司上海分公司,20-99人,销售|市场|客服|公关,全职,8000-12000,民营,斗米,不限,不限,10000.0
小易到家 直招 渠道分销总监（淞南友谊路2店）,海南小易到家电子商务有限公司上海分公司,20-99人,销售|市场|客服|公关,全职,8000-12000,民营,斗米,不限,不限,10000.0
上海豫辉货物运输有限公司,上海豫辉货物运输有限公司,20-99人,,全职,8000-12000,民营,斗米,不限,不限,10000.0
小易到家 直招 渠道分销总监（顾村二店）,海南小易到家电子商务有限公司上海分公司,20-99人,销售|市场|客服|公关,全职,8000-12000,民营,斗米,不限,不限,10000.0
小易到家 直招 渠道分销总监（美兰湖店）,海南小易到家电子商务有限公司上海分公司,20-99人,销售|市场|客服|公关,全职,8000-12000,民营,斗米,不限,不限,10000.0
数据分析师（非研发岗位）(J10542)(北京百分点信息科技有限公司),北京百分点信息科技有限公司,500-999人,数据分析师,全职,8000-12000,民营,猎聘,1-3年,本科,10000.0
数据分析师(J10328)(北京百分点信息科技有限公司),北京百分点信息科技有限公司,500-999人,数据分析师,全职,8000-12000,民营,猎聘,1-3年,本科,10000.0
数据分析师(方家铺子),方家铺子(莆田)绿色食品有限公司,100-499人,数据分析师,全职,8000-12000,民营,猎聘,3-5年,本科,10000.0
数据分析师(北京精佳诚羊绒制品有限公司),北京精佳诚羊绒制品有限公司,,电商运营,全职,5000-8000,民营,猎聘,不限,本科,6500.0
数据分析师(北京爱康医疗投资控股集团有限公司),北京爱康医疗投资控股集团有限公司,2000-5000人,数据分析师,全职,8000-12000,民营,猎聘,3-5年,本科,10000.0
大数据分析师(医来伸手互联网医院(广州)有限公司),医来伸手互联网医院(广州)有限公司,100-499人,数据分析师,全职,8000-12000,民营,猎聘,不限,本科,10000.0
数据分析建模师(北京羽实箫恩信息技术股份有限公司),北京羽实箫恩信息技术股份有限公司,50-99人,IT/互联网,全职,8000-12000,民营,猎聘,1-3年,大专,10000.0
数据分析师（支付方向）(畅捷通支付北京),北京畅捷通支付技术有限公司,100-499人,数据分析师,全职,8000-12000,民营,猎聘,1-3年,本科,10000.0
风控数据决策分析师(马上消费金融股份有限公司),马上消费金融股份有限公司,2000-5000人,风险控制,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析师(敦煌网),世纪禾光科技发展(北京)有限公司,500-999人,业务分析专员/助理,全职,8000-12000,外商独资/办事处,猎聘,1-3年,本科,10000.0
数据分析师(乐普),乐普(北京)医疗器械股份有限公司,2000-5000人,数据分析师,全职,8000-12000,上市公司,猎聘,1-3年,硕士,10000.0
数据统计分析师(天九共享控股集团有限公司),天九共享控股集团有限公司,2000-5000人,销售/客服/技术支持,全职,面议,民营,猎聘,5-10年,本科,
数据分析师(碧桂园集团),珠海市碧桂园管理服务有限公司,10000人以上,数据库开发工程师,全职,面议,民营,猎聘,3-5年,硕士,
数据分析师(北京泰豪智能工程有限公司),北京泰豪智能工程有限公司,2000-5000人,数据分析师,全职,面议,民营,猎聘,3-5年,硕士,
大数据分析师(新聚思北京),北京新聚思信息技术有限公司,500-999人,IT/互联网,全职,面议,外商独资/办事处,猎聘,3-5年,本科,
网络数据分析架构师(新华三集团),新华三技术有限公司,10000人以上,数据架构师,全职,12000-20000,中外合资/合作,猎聘,1-3年,本科,16000.0
数据分析师(慧算账),北京公瑾科技有限公司,2000-5000人,数据分析师,全职,面议,民营,猎聘,5-10年,本科,
数据分析师(明医众禾科技(北京)有限责任公司),明医众禾科技(北京)有限责任公司,100-499人,数据分析师,全职,20000-25000,民营,猎聘,1-3年,本科,22500.0
数据分析师(康辰药业),北京康辰药业股份有限公司,100-499人,业务分析专员/助理,全职,8000-12000,上市公司,猎聘,1-3年,本科,10000.0
数据分析架构师(北京志翔科技股份有限公司),北京志翔科技股份有限公司,100-499人,数据分析师,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
媒介策划分析师(北京勾正数据科技有限公司),北京勾正数据科技有限公司,1-49人,媒介策划,全职,8000-12000,民营,猎聘,1-3年,本科,10000.0
需求分析师(同方股份大数据产业本部),同方股份大数据产业本部,10000人以上,IT/互联网,全职,8000-12000,国企,猎聘,1-3年,本科,10000.0
数据分析师-KOL方向(北京字节跳动网络技术有限公司),北京字节跳动网络技术有限公司,10000人以上,数据分析师,全职,面议,民营,猎聘,3-5年,本科,
网络情报分析师(福韵数据服务有限公司),福韵数据服务有限公司,100-499人,情报信息分析师,全职,5000-8000,民营,猎聘,不限,硕士,6500.0
风险数据高级分析师(友信金服),北京友信科技有限公司,10000人以上,风险控制,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
财务分析师(上海沣石数据服务有限公司),上海沣石数据服务有限公司,100-499人,财务/人力资源/行政,全职,8000-12000,民营,猎聘,3-5年,本科,10000.0
高级需求分析师(国网商用大数据有限公司),国网商用大数据有限公司,50-99人,IT/互联网,全职,面议,民营,猎聘,3-5年,本科,
大数据分析开发工程师(新华三集团),新华三技术有限公司,10000人以上,数据挖掘工程师,全职,8000-12000,中外合资/合作,猎聘,1-3年,本科,10000.0
高薪直招金融数据分析师助理,北京瑞益信息咨询有限公司,,计算机/互联网/信息技术,全职,5000-8000,中外合资/合作,OFweek人才网,不限,不限,6500.0
双休高薪  金融数据分析师助理,北京万向天乾科技有限公司,,计算机/互联网/信息技术,全职,8000-12000,中外合资/合作,OFweek人才网,不限,不限,10000.0
资深数据挖掘分析师,字节跳动,,其它,全职,25000以上,民营,OFweek人才网,不限,本科,25000.0
数据分析工程师(小红唇(北京)网络科技有限公司),小红唇(北京)网络科技有限公司,100-499人,咨询/法律/翻译/商标/专利,全职,8000-12000,民营,猎聘,1-3年,本科,10000.0
高级数据策略分析师(饿了么),拉扎斯网络科技(上海)有限公司,10000人以上,数据分析师,全职,12000-20000,外商独资/办事处,猎聘,3-5年,本科,16000.0
数据分析工程师(永辉彩食鲜发展有限公司),永辉彩食鲜发展有限公司,2000-5000人,数据分析师,全职,12000-20000,民营,猎聘,3-5年,大专,16000.0
数据运营分析师(J10108)(首约科技(北京)有限公司),首约科技(北京)有限公司,10000人以上,数据运营,全职,8000-12000,国企,猎聘,3-5年,本科,10000.0
交易咨询数据分析 Data Analytics(安永EY),安永华明会计师事务所(特殊普通合伙)上海分所,1000-2000人,Python,全职,12000-20000,外商独资/办事处,猎聘,1-3年,本科,16000.0
数据分析与挖掘程师(北京初速度科技有限公司),北京魔门塔科技有限公司,100-499人,数据库开发工程师,全职,12000-20000,中外合资/合作,猎聘,不限,本科,16000.0
数据分析工程师(北京派网软件有限公司),北京派网软件有限公司,,数据分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析架构师(明智医疗科技(上海)有限公司),明智医疗科技(上海)有限公司,50-99人,架构师,全职,20000-25000,民营,猎聘,1-3年,硕士,22500.0
资深数据分析工程师(爱奇艺),北京奇艺世纪科技有限公司,5000-10000人,数据分析师,全职,20000-25000,民营,猎聘,3-5年,本科,22500.0
临床数据统计分析师,北京预立创投生物医学科技有限公司,20-99人,财务/审计/税务,全职,8000-12000,民营,OFweek人才网,不限,不限,10000.0
数据分析工程师(006050)(广联达),广联达科技股份有限公司,2000-5000人,数据分析师,全职,20000-25000,上市公司,猎聘,5-10年,不限,22500.0
资深数据分析工程师(小川科技),北京小川在线网络技术有限公司,100-499人,数据分析师,全职,25000以上,民营,猎聘,3-5年,本科,25000.0
ACG百度智能云数据挖掘分析师(Baidu),百度在线网络技术(北京)有限公司,10000人以上,数据挖掘工程师,全职,25000以上,外商独资/办事处,猎聘,3-5年,本科,25000.0
