title,company,company_size,industry,type,salary,company_type,source,experience,education,salary2
数据分析工程师(南京华苏科技有限公司),南京华苏科技有限公司,2000-5000人,咨询/法律/翻译/商标/专利,全职,5000-8000,民营,猎聘,3-5年,大专,6500.0
大数据分析工程师(源讯信息技术(中国)有限公司),源讯信息技术(中国)有限公司,500-999人,咨询/法律/翻译/商标/专利,全职,8000-12000,外商独资/办事处,猎聘,5-10年,本科,10000.0
大数据分析工程师(清华大学天津电子信息研究院),清华大学天津电子信息研究院,100-499人,数据分析师,全职,8000-12000,事业单位,猎聘,1-3年,本科,10000.0
研发中心-数据分析工程师(J14749)(北京金风科创风电设备有限公司),北京金风科创风电设备有限公司,1000-2000人,生产制造/造纸印刷/服装服?机械设计/制造/维修,全职,面议,上市公司,猎聘,3-5年,硕士,
大数据分析工程师(上海中芯国际),中芯国际集成电路制造(上海)有限公司,10000人以上,IT/互联网,全职,面议,民营,猎聘,1-3年,本科,
系统需求分析师(河北秦淮数据有限公司),河北秦淮数据有限公司,500-999人,系统工程师,全职,8000-12000,民营,猎聘,5-10年,本科,10000.0
数据分析工程师0419(米图维(上海)商务咨询有限公司),米图维(上海)商务咨询有限公司,,IT/互联网,全职,8000-12000,中外合资/合作,猎聘,不限,不限,10000.0
数据分析工程师(米图维(上海)商务咨询有限公司),米图维(上海)商务咨询有限公司,,生产制造/造纸印刷/服装服?质量管理/安全防护,全职,8000-12000,中外合资/合作,猎聘,3-5年,不限,10000.0
高级数据分析应用开发工程师（北京）(海尔家电产业集团-—),海尔家电产业集团-—,,数据分析师,全职,面议,民营,猎聘,3-5年,本科,
销售经理主管(北京中辉智诚数据分析师事务所有限公司),北京中辉智诚数据分析师事务所有限公司,,制药/医疗,全职,8000-12000,民营,猎聘,不限,大专,10000.0
北京高级分析师(广东赢商网数据服务股份有限公司),广东赢商网数据服务股份有限公司,100-499人,市场/公关,全职,8000-12000,上市公司,猎聘,1-3年,本科,10000.0
科技中心-大数据分析开发工程师(网信集团),网信集团有限公司,2000-5000人,数据挖掘工程师,全职,面议,民营,猎聘,1-3年,本科,
质量数据分析工程师(帝亚一维新能源汽车有限公司),帝亚一维新能源汽车有限公司,100-499人,生产制造/造纸印刷/服装服?质量管理/安全防护,全职,面议,民营,猎聘,3-5年,本科,
源清单编制工程师/数据分析,中科弘清（北京）科技有限公司,,其它,全职,3000-5000,民营,OFweek人才网,不限,本科,4000.0
民航容量评估数据分析工程师,北京全顺辅科贸有限公司,,其它,全职,8000-12000,民营,OFweek人才网,不限,不限,10000.0
数据分析工程师专家(国内轨道交通行业新兴公司),国内轨道交通行业新兴公司,50-99人,数据分析师,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
数据挖掘与分析师(北京如易行科技有限公司),北京如易行科技有限公司,100-499人,数据挖掘工程师,全职,8000-12000,民营,猎聘,3-5年,本科,10000.0
VBA开发软件工程师  数据分析专员,北京学语乐童文化发展有限公司,,激光/光学,全职,8000-12000,民营,OFweek人才网,不限,不限,10000.0
数据分析行业分析工程师(某互联网公司),某互联网公司,10000人以上,数据分析师,全职,25000以上,中外合资/合作,猎聘,5-10年,本科,25000.0
数据分析高级工程师 3010092(富士康工业互联网股份有限公司),富士康工业互联网股份有限公司,10000人以上,数据分析师,全职,12000-20000,中外合资/合作,猎聘,5-10年,本科,16000.0
高级数据策略分析师（建模方向）(便利蜂),睦邻企业管理服务(北京)有限公司,5000-10000人,数据分析师,全职,25000以上,民营,猎聘,3-5年,本科,25000.0
数据分析工程师(畅捷通信息技术股份有限公司),畅捷通信息技术股份有限公司,500-999人,数据分析师,全职,20000-25000,上市公司,猎聘,3-5年,本科,22500.0
数据分析工程师(国内知名智能轨道交通),国内知名智能轨道交通,50-99人,数据分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析及制图分析工程师(北京国测星绘信息技术有限公司),北京国测星绘信息技术有限公司,50-99人,数据分析师,全职,8000-12000,国企,猎聘,不限,本科,10000.0
高级经济统计分析师（大数据生物经济地域经济）(火石创造),杭州费尔斯通科技有限公司,100-499人,情报信息分析师,全职,20000-25000,民营,猎聘,5-10年,硕士,22500.0
数据分析工程师数据科学家(北京瑞思天创科技有限公司),北京瑞思天创科技有限公司,,数据分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析工程师 (MJ000096)(北京领创智信科技有限公司),北京领创智信科技有限公司,1000-2000人,数据分析师,全职,20000-25000,民营,猎聘,1-3年,本科,22500.0
数据分析工程师(北京中经惠众科技有限公司),北京中经惠众科技有限公司,100-499人,数据分析师,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
商业分析师策略运营数据分析(美团点评),北京三快在线科技有限公司,10000人以上,咨询/法律/翻译/商标/专利,全职,面议,上市公司,猎聘,1-3年,本科,
数据运营-专家分析师(云账户（天津）共享经济信息咨询有限公司),云账户技术(天津)有限公司,100-499人,数据运营,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
大气源解析数据分析工程师(北京博赛德科技有限公司),北京博赛德科技有限公司,50-99人,数据分析师,全职,8000-12000,民营,猎聘,1-3年,硕士,10000.0
数据分析工程师 3010091(富士康工业互联网股份有限公司),富士康工业互联网股份有限公司,10000人以上,数据分析师,全职,8000-12000,中外合资/合作,猎聘,1-3年,本科,10000.0
大数据分析工程师 (MJ000276)(玖富数科科技集团有限责任公司),玖富数科科技集团有限责任公司,1000-2000人,数据分析师,全职,20000-25000,民营,猎聘,3-5年,本科,22500.0
移动生态战略规划部数据分析产品运营师(Baidu),百度在线网络技术(北京)有限公司,10000人以上,其他互联网+产品职位,全职,12000-20000,外商独资/办事处,猎聘,1-3年,本科,16000.0
大数据高级分析师(央视频融媒体发展有限公司),央视频融媒体发展有限公司,100-499人,数据分析师,全职,面议,国企,猎聘,3-5年,本科,
大数据架构师(依托数据分析的，聚合形成个人信用码的新科技平台公司),依托数据分析的，聚合形成个人信用码的新科技平台公司,100-499人,数据架构师,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
高级数据分析工程师(上海铸岩信息技术有限公司),上海铸岩信息技术有限公司,100-499人,数据分析师,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
大数据分析工程师(佳讯飞鸿(北京)智能科技研究院有限公司),佳讯飞鸿(北京)智能科技研究院有限公司,50-99人,数据库开发工程师,全职,12000-20000,上市公司,猎聘,1-3年,硕士,16000.0
数据分析工程师(Baidu),百度在线网络技术(北京)有限公司,10000人以上,数据分析师,全职,面议,外商独资/办事处,猎聘,不限,本科,
用户行为研究部数据分析工程师(Baidu),百度在线网络技术(北京)有限公司,10000人以上,数据分析师,全职,面议,外商独资/办事处,猎聘,不限,本科,
数据分析工程师(中电太极(集团)有限公司),中电太极(集团)有限公司,5000-10000人,数据分析师,全职,8000-12000,国企,猎聘,3-5年,本科,10000.0
数据分析挖掘工程师专家(美菜),北京云杉信息技术有限公司,5000-10000人,数据库开发工程师,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
数据分析工程师(海博思创),北京海博思创科技有限公司,500-999人,网络工程师,全职,8000-12000,中外合资/合作,猎聘,不限,本科,10000.0
HR数据运营分析师(北京快手科技有限公司),北京达佳互联信息技术有限公司,5000-10000人,数据分析师,全职,面议,民营,猎聘,不限,不限,
高级数据运营分析师运营分析主管(J11912)(58同城),北京五八信息技术有限公司,10000人以上,IT/互联网,全职,12000-20000,中外合资/合作,猎聘,3-5年,本科,16000.0
数据业务分析师（业务分析咨询顾问）(软通动力),软通动力信息技术(集团)有限公司,10000人以上,咨询/法律/翻译/商标/专利,全职,25000以上,上市公司,猎聘,5-10年,本科,25000.0
汽车金融部-数据策略分析师(汽车之家),北京齐尔布莱特科技有限公司,2000-5000人,数据分析师,全职,20000-25000,民营,猎聘,3-5年,本科,22500.0
大数据需求分析师(中商利高科技(北京)有限公司),中商利高科技(北京)有限公司,,IT/互联网,全职,25000以上,民营,猎聘,10年以上,本科,25000.0
资深开发工程师 - 大数据分析(J191015001)(滴滴),北京嘀嘀无限科技发展有限公司,5000-10000人,数据分析师,全职,12000-20000,外商独资/办事处,猎聘,3-5年,本科,16000.0
电力行业数据分析工程师(北京志翔科技股份有限公司),北京志翔科技股份有限公司,100-499人,数据分析师,全职,12000-20000,民营,猎聘,不限,本科,16000.0
数据挖掘数据分析工程师(北京奇元科技有限公司),北京奇元科技有限公司,,Python,全职,25000以上,民营,猎聘,3-5年,本科,25000.0
驾驶场景数据分析工程师(国汽(北京)智能网联汽车研究院有限公司),国汽(北京)智能网联汽车研究院有限公司,100-499人,数据分析师,全职,12000-20000,民营,猎聘,5-10年,硕士,16000.0
大数据分析工程师(车满满(北京)信息技术有限公司),车满满(北京)信息技术有限公司,100-499人,IT/互联网,全职,20000-25000,民营,猎聘,5-10年,本科,22500.0
大数据分析工程师(太和睿信),北京太和睿信企业管理顾问有限公司,100-499人,数据分析师,全职,20000-25000,民营,猎聘,5-10年,本科,22500.0
测试数据分析工程师(某北京新能源知名公司),某北京新能源知名公司,100-499人,销售/客服/技术支持,全职,12000-20000,上市公司,猎聘,5-10年,本科,16000.0
数据分析及报表开发工程师(兴业银行股份有限公司北京分行),兴业银行股份有限公司北京分行,2000-5000人,数据分析师,全职,25000以上,国企,猎聘,3-5年,本科,25000.0
物业行业分析师(北京中指讯博数据信息技术有限公司),北京中指讯博数据信息技术有限公司,500-999人,行业研究,全职,8000-12000,民营,猎聘,1-3年,硕士,10000.0
数据分析工程师(微加普惠),云南微加经济信息咨询有限公司,100-499人,数据分析师,全职,20000-25000,民营,猎聘,3-5年,本科,22500.0
数据分析工程师(清控紫荆),清控紫荆(北京)教育科技股份有限公司,50-99人,其他互联网+技术职位,全职,25000以上,民营,猎聘,3-5年,本科,25000.0
风险决策分析师-大数据方向009777(京东数字科技控股有限公司),京东数字科技控股有限公司,2000-5000人,能源/采掘/化工/环保,全职,面议,外商独资/办事处,猎聘,3-5年,硕士,
数据分析工程师（物流规划）(旷视科技),北京旷视科技有限公司,2000-5000人,数据分析师,全职,面议,民营,猎聘,3-5年,本科,
网络人工智能架构师大数据分析架构师(国内知名互联网企业),国内知名互联网企业,50-99人,IT/互联网,全职,25000以上,民营,猎聘,5-10年,本科,25000.0
气象数据分析工程师(航天新气象科技有限公司),航天新气象科技有限公司,100-499人,数据分析师,全职,面议,国企,猎聘,不限,本科,
